Date,Payee,Memo,Amount,Info
03/12/24,Vodafone (home),03/2024 K-NR. 332056708 Ihre Rechnung online bei www.vodafone.de/meinkabel ,-6.76,Umsatz gebucht
03/12/24,Vodafone (home),03/2024 K-NR. 332056708 Ihre Rechnung online bei www.vodafone.de/meinkabel ,-43.98,Umsatz gebucht
